
2022/09/15 (14:41:31) | ===> btop++ v.1.2.9
2022/09/15 (14:41:31) | ERROR: Stall in Runner thread, restarting!

2022/10/04 (08:33:34) | ===> btop++ v.1.2.9
2022/10/04 (08:33:34) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:33:40) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:33:46) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:33:52) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:33:58) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:04) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:10) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:16) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:22) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:28) | ERROR: Stall in Runner thread, restarting!
2022/10/04 (08:34:34) | ERROR: Stall in Runner thread, restarting!

2022/10/10 (09:20:14) | ===> btop++ v.1.2.9
2022/10/10 (09:20:14) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
